Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Afghanistan,AFG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,38.125
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,37.2660408
Afghanistan,AFG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,52.06343079
Afghanistan,AFG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,22.60078049
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,NA
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.579999924
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Albania,ALB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,91.25
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Albania,ALB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Albania,ALB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,18260043500
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,6494.385713
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Algeria,DZA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,57.5
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Algeria,DZA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Algeria,DZA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.67983E+11
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3765.034625
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
American Samoa,ASM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
American Samoa,ASM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
American Samoa,ASM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,NA
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Andorra,AND,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Andorra,AND,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Andorra,AND,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3329910724
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,43047.68627
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Angola,AGO,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,79.375
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Angola,AGO,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Angola,AGO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,72546985709
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2137.909393
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Antigua and Barbuda,ATG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,66.25
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
